dremio_col,virt_full_path,dataset,domain,rule,total_lignes,valides,score_pct,flag,timestamp
code_pays_de_domiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91047,91030,99.98,PASS,2026-06-03T14:33:06
datecreationjuridique,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.creation_date,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,91047,89737,98.56,PASS,2026-06-03T14:33:06
raisonsocial,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.corporate_name,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,91047,91047,100.00,PASS,2026-06-03T14:33:06
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.fatca_identification_number,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91047,41,0.05,FAIL,2026-06-03T14:33:06
chiffre_affaire,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.turnover,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,90150,83261,92.36,PASS,2026-06-03T14:33:06
capital,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.capital,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,90150,82880,91.94,PASS,2026-06-03T14:33:06
code_pays_de_residence,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.residence_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4595528,99.85,PASS,2026-06-03T14:33:06
nombre_d_enfants,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.number_of_child,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4595848,99.86,PASS,2026-06-03T14:33:06
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.nationality_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4593886,99.81,PASS,2026-06-03T14:33:06
genre,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.gender,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4598079,99.90,PASS,2026-06-03T14:33:06
situation_familiale,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.family_situation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4585565,99.63,PASS,2026-06-03T14:33:06
civilite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4600502,99.96,PASS,2026-06-03T14:33:06
nom_gerant,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,4602518,4600502,99.96,PASS,2026-06-03T14:33:06
nom_personnes_physique,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,4602518,4600502,99.96,PASS,2026-06-03T14:33:06
date_de_naissance,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.birthdate,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4595847,99.86,PASS,2026-06-03T14:33:06
pays_de_naissance,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.birth_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,4593797,99.81,PASS,2026-06-03T14:33:06
ville_de_naissance,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.birth_city,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,3987422,86.64,WARN,2026-06-03T14:33:06
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.fatca_identification_number,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4602518,1113,0.02,FAIL,2026-06-03T14:33:06
code_secteur_activite,VIRTUALISATION.staging-nova-referentieltiers.professional_activity.activity_code,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29463,29463,100.00,PASS,2026-06-03T14:33:06
branche_activite,VIRTUALISATION.staging-nova-referentieltiers.professional_activity.activity_branch,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29463,29463,100.00,PASS,2026-06-03T14:33:06
chiffre_affaire,VIRTUALISATION.staging-nova-referentieltiers.professional_description.turnover,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29472,21068,71.48,WARN,2026-06-03T14:33:06
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.professional_description.fatca_identification_number,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29472,1,0.00,FAIL,2026-06-03T14:33:06
raison_sociale,VIRTUALISATION.staging-nova-referentieltiers.professional_description.company_name,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29472,29472,100.00,PASS,2026-06-03T14:33:06
company_name,VIRTUALISATION.staging-nova-referentieltiers.professional_description.company_name,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,29472,29472,100.00,PASS,2026-06-03T14:33:06
capital,VIRTUALISATION.staging-nova-referentieltiers.professional_description.capital,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29472,0,0.00,FAIL,2026-06-03T14:33:06
genre,VIRTUALISATION.staging-nova-referentieltiers.company_shareholders.gendre,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,97986,49765,50.79,FAIL,2026-06-04T10:15:15
date_naissance,VIRTUALISATION.staging-nova-referentieltiers.company_shareholders.birthdate,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,97986,0,0.00,FAIL,2026-06-04T10:15:15
type_secteur_activite,VIRTUALISATION.staging-nova-referentieltiers.customer_activity.main,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91670,91670,100.00,PASS,2026-06-04T10:15:15
branche_activite,VIRTUALISATION.staging-nova-referentieltiers.customer_activity.branch,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91670,91670,100.00,PASS,2026-06-04T10:15:15
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.customer_activity.ape_code,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91670,91670,100.00,PASS,2026-06-04T10:15:15
lieu_creation,VIRTUALISATION.staging-nova-referentieltiers.customer_creation_context.user_identifier,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,9481731,9402805,99.17,PASS,2026-06-04T10:15:15
code_categorie_socio_professionelle,VIRTUALISATION.staging-nova-referentieltiers.customer_job.socioprofessional_category,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4549263,2086809,45.87,FAIL,2026-06-04T10:15:15
situation_professionelle,VIRTUALISATION.staging-nova-referentieltiers.customer_job.professional_situation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4549263,4549263,100.00,PASS,2026-06-04T10:15:15
code_secteur_professionel,VIRTUALISATION.staging-nova-referentieltiers.customer_job.professional_sector,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4549263,2086862,45.87,FAIL,2026-06-04T10:15:15
code_profession,VIRTUALISATION.staging-nova-referentieltiers.customer_job.occupation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4549263,2086852,45.87,FAIL,2026-06-04T10:15:15
employeur,VIRTUALISATION.staging-nova-referentieltiers.customer_job.employer,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4549263,1259218,27.68,FAIL,2026-06-04T10:15:15
adresse,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.complete_adress,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Completude,8160061,8160061,100.00,PASS,2026-06-04T10:15:15
code_postal,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.zip_code,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Completude,8160061,6953150,85.21,WARN,2026-06-04T10:15:15
code_ville,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.city,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Completude,8160061,8131497,99.65,PASS,2026-06-04T10:15:15
code_pays,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.country_code,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Completude,8160061,8158273,99.98,PASS,2026-06-04T10:15:15
code_segment,VIRTUALISATION.staging-nova-referentieltiers.customer_segmentation.segment_number,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,78,77,98.72,PASS,2026-06-04T10:15:15
type_client,VIRTUALISATION.staging-nova-referentieltiers.customers.customer_type,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4724509,4724509,100.00,PASS,2026-06-04T10:15:15
radical_professional,VIRTUALISATION.staging-nova-referentieltiers.customers.customer_number,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,29489,29489,100.00,PASS,2026-06-04T10:15:15
radical_personnes_physique,VIRTUALISATION.staging-nova-referentieltiers.customers.customer_number,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,4603942,4603942,100.00,PASS,2026-06-04T10:15:15
codepaysdenationalite,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.nationality_country,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,91078,89885,98.69,PASS,2026-06-04T10:15:15
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.nationality_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91078,89885,98.69,PASS,2026-06-04T10:15:15
codepaysdedomiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,91078,91061,99.98,PASS,2026-06-04T10:15:15
code_pays_de_domiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91078,91061,99.98,PASS,2026-06-04T10:15:15
datecreationjuridique,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.creation_date,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,91078,89768,98.56,PASS,2026-06-04T10:15:15
raisonsocial,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.corporate_name,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,91078,91078,100.00,PASS,2026-06-04T10:15:15
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.fatca_identification_number,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91078,41,0.05,FAIL,2026-06-04T10:15:15
chiffre_affaire,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.turnover,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,90180,83291,92.36,PASS,2026-06-04T10:15:15
capital,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.capital,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,90180,82910,91.94,PASS,2026-06-04T10:15:15
code_pays_de_residence,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.residence_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4596950,99.85,PASS,2026-06-04T10:15:15
nombre_d_enfants,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.number_of_child,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4597270,99.86,PASS,2026-06-04T10:15:15
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.nationality_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4595308,99.81,PASS,2026-06-04T10:15:15
genre,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.gender,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4599500,99.90,PASS,2026-06-04T10:15:15
situation_familiale,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.family_situation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4586986,99.63,PASS,2026-06-04T10:15:15
civilite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4601925,99.96,PASS,2026-06-04T10:15:15
nom_gerant,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,4603941,4601925,99.96,PASS,2026-06-04T10:15:15
nom_personnes_physique,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,4603941,4601925,99.96,PASS,2026-06-04T10:15:15
date_de_naissance,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.birthdate,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4597269,99.86,PASS,2026-06-04T10:15:15
pays_de_naissance,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.birth_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,4595219,99.81,PASS,2026-06-04T10:15:15
ville_de_naissance,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.birth_city,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,3988839,86.64,WARN,2026-06-04T10:15:15
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.fatca_identification_number,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4603941,1115,0.02,FAIL,2026-06-04T10:15:15
code_secteur_activite,VIRTUALISATION.staging-nova-referentieltiers.professional_activity.activity_code,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29480,29480,100.00,PASS,2026-06-04T10:15:15
branche_activite,VIRTUALISATION.staging-nova-referentieltiers.professional_activity.activity_branch,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29480,29480,100.00,PASS,2026-06-04T10:15:15
chiffre_affaire,VIRTUALISATION.staging-nova-referentieltiers.professional_description.turnover,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29488,21084,71.50,WARN,2026-06-04T10:15:15
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.professional_description.fatca_identification_number,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29488,1,0.00,FAIL,2026-06-04T10:15:15
raison_sociale,VIRTUALISATION.staging-nova-referentieltiers.professional_description.company_name,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29488,29488,100.00,PASS,2026-06-04T10:15:15
company_name,VIRTUALISATION.staging-nova-referentieltiers.professional_description.company_name,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,29488,29488,100.00,PASS,2026-06-04T10:15:15
capital,VIRTUALISATION.staging-nova-referentieltiers.professional_description.capital,CIHOne.CLIENTS.Professionnels.clients,PTP-TIE-POR,Completude,29488,0,0.00,FAIL,2026-06-04T10:15:15
genre,VIRTUALISATION.staging-nova-referentieltiers.company_shareholders.gendre,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,98024,49764,50.77,FAIL,2026-06-05T15:57:12
date_naissance,VIRTUALISATION.staging-nova-referentieltiers.company_shareholders.birthdate,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,98024,0,0.00,FAIL,2026-06-05T15:57:12
type_secteur_activite,VIRTUALISATION.staging-nova-referentieltiers.customer_activity.main,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91701,91701,100.00,PASS,2026-06-05T15:57:12
branche_activite,VIRTUALISATION.staging-nova-referentieltiers.customer_activity.branch,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91701,91701,100.00,PASS,2026-06-05T15:57:12
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.customer_activity.ape_code,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91701,91701,100.00,PASS,2026-06-05T15:57:12
lieu_creation,VIRTUALISATION.staging-nova-referentieltiers.customer_creation_context.user_identifier,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,9484393,9404937,99.16,PASS,2026-06-05T15:57:12
code_categorie_socio_professionelle,VIRTUALISATION.staging-nova-referentieltiers.customer_job.socioprofessional_category,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4550906,2087350,45.87,FAIL,2026-06-05T15:57:12
situation_professionelle,VIRTUALISATION.staging-nova-referentieltiers.customer_job.professional_situation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4550906,4550906,100.00,PASS,2026-06-05T15:57:12
code_secteur_professionel,VIRTUALISATION.staging-nova-referentieltiers.customer_job.professional_sector,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4550906,2087403,45.87,FAIL,2026-06-05T15:57:12
code_profession,VIRTUALISATION.staging-nova-referentieltiers.customer_job.occupation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4550906,2087393,45.87,FAIL,2026-06-05T15:57:12
employeur,VIRTUALISATION.staging-nova-referentieltiers.customer_job.employer,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4550906,1259354,27.67,FAIL,2026-06-05T15:57:12
code_ville,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.city,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Completude,8161791,8133227,99.65,PASS,2026-06-05T15:57:12
code_pays,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.country_code,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Completude,8161791,8160003,99.98,PASS,2026-06-05T15:57:12
code_segment,VIRTUALISATION.staging-nova-referentieltiers.customer_segmentation.segment_number,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,78,77,98.72,PASS,2026-06-05T15:57:12
radical_personnes_physique,VIRTUALISATION.staging-nova-referentieltiers.customers.customer_number,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Completude,4605596,4605596,100.00,PASS,2026-06-05T15:57:12
codepaysdenationalite,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.nationality_country,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,91109,89916,98.69,PASS,2026-06-05T15:57:12
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.nationality_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91109,89916,98.69,PASS,2026-06-05T15:57:12
codepaysdedomiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Completude,91109,91092,99.98,PASS,2026-06-05T15:57:12
code_pays_de_domiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91109,91092,99.98,PASS,2026-06-05T15:57:12
datecreationjuridique,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.creation_date,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,91109,89799,98.56,PASS,2026-06-05T15:57:12
raisonsocial,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.corporate_name,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,91109,91109,100.00,PASS,2026-06-05T15:57:12
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.fatca_identification_number,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,91109,42,0.05,FAIL,2026-06-05T15:57:12
chiffre_affaire,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.turnover,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,90209,83320,92.36,PASS,2026-06-05T15:57:12
capital,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.capital,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Completude,90209,82939,91.94,PASS,2026-06-05T15:57:12
code_pays_de_residence,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.residence_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4605595,4598602,99.85,PASS,2026-06-05T15:57:12
nombre_d_enfants,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.number_of_child,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4605595,4598922,99.86,PASS,2026-06-05T15:57:12
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.nationality_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4605595,4596960,99.81,PASS,2026-06-05T15:57:12
genre,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.gender,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4605595,4601152,99.90,PASS,2026-06-05T15:57:12
situation_familiale,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.family_situation,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4605595,4588638,99.63,PASS,2026-06-05T15:57:12
civilite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Completude,4605595,4603579,99.96,PASS,2026-06-05T15:57:12
nom_gerant,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.civility,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Completude,4605595,4603579,99.96,PASS,2026-06-05T15:57:12
